?subject	?name	?entity_name
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Pretenders>	"Pretenders"	"Simple Minds"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Pretenders>	"Pretenders"	"Stevie Nicks"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Pretenders>	"Pretenders"	"Cat Power"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Pretenders>	"Pretenders"	"U2"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cassadee-Pope>	"Cassadee Pope"	"Tim McGraw"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cassadee-Pope>	"Cassadee Pope"	"Chris Young"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cassadee-Pope>	"Cassadee Pope"	"Kip Moore"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cassadee-Pope>	"Cassadee Pope"	"Maren Morris"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Morbid-Angel>	"Morbid Angel"	"Kreator"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Morbid-Angel>	"Morbid Angel"	"Nile Rodgers"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Morbid-Angel>	"Morbid Angel"	"Nile"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ryan-Leslie>	"Ryan Leslie"	"Trey Songz"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ryan-Leslie>	"Ryan Leslie"	"CeeLo Green"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ryan-Leslie>	"Ryan Leslie"	"Melanie Fiona"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ryan-Leslie>	"Ryan Leslie"	"Bobby V"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ryan-Leslie>	"Ryan Leslie"	"Jazmine Sullivan"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	"Raheem DeVaughn"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	"Chrisette Michele"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	"Musiq Soulchild"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	"Kem"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	"Juvenile"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Anthony Hamilton"	"Raheem DeVaughn"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Anthony Hamilton"	"Chrisette Michele"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Anthony Hamilton"	"Musiq Soulchild"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Anthony Hamilton"	"Kem"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Anthony Hamilton"	"Juvenile"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Arca-(musician)>	"Arca"	"Thundercat"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Tkay-Maidza>	"Tkay Maidza"	"Meg Mac"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Tkay-Maidza>	"Tkay Maidza"	"Flight Facilities"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Tkay-Maidza>	"Tkay Maidza"	"DMA'S"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Tkay-Maidza>	"Tkay Maidza"	"Hermitude"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Tkay-Maidza>	"Tkay Maidza"	"Hilltop Hoods"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Action-Bronson>	"Action Bronson"	"Danny Brown"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Action-Bronson>	"Action Bronson"	"Vince Staples"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Action-Bronson>	"Action Bronson"	"Mac Miller"
