?name	?classifciation	?year	?winner	?artist_uri	?artist_name
"Grammy_Award"	"Album_of_the_Year"	2014	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Taylor-Swift>	"Taylor Swift"
"American_Music_Award"	"Favorite_Country_Male_Artist"	1996	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/George-Strait>	"George Strait"
"American_Music_Award"	"Favorite_Country_Male_Artist"	1984	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Kenny-Rogers>	"Kenny Rogers"
"American_Music_Award"	"Favorite_Pop/Rock_Male_Artist"	2010	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Usher-(musician)>	"Usher"
"Grammy_Award"	"Album_of_the_Year"	1994	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Sting-(musician)>	"Sting"
"Grammy_Award"	"Album_of_the_Year"	1997	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Smashing-Pumpkins>	"The Smashing Pumpkins"
"American_Music_Award"	"Favorite_Pop/Rock_Album"	1994	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Spin-Doctors>	"Spin Doctors"
"Billboard_Music_Award"	"Top_Male_Artist"	2011	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Eminem>	"Eminem"
"American_Music_Award"	"Favorite_Soul/R&B_Male_Artist"	2010	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Usher-(musician)>	"Usher"
"American_Music_Award"	"Favorite_Country_Album"	2002	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lonestar>	"Lonestar"
"American_Music_Award"	"Favorite_Pop/Rock_Band/Duo/Group"	1988	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Bon-Jovi>	"Bon Jovi"
"Grammy_Award"	"Song_of_the_Year"	2019	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Shawn-Mendes>	"Shawn Mendes"
"American_Music_Award"	"Favorite_Country_Female_Artist"	1976	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Olivia-Newton-John>	"Olivia Newton-John"
"Billboard_Music_Award"	"Top_Billboard_200_Album"	21	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/One-Direction>	"One Direction"
"Grammy_Award"	"Album_of_the_Year"	2009	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lil-Wayne>	"Lil Wayne"
"American_Music_Award"	"Favorite_Country_Male_Artist"	1997	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/George-Strait>	"George Strait"
"American_Music_Award"	"Favorite_Pop/Rock_Male_Artist"	1990	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Richard-Marx>	"Richard Marx"
"American_Music_Award"	"Favorite_Pop/Rock_Male_Artist"	1987	true	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lionel-Richie>	"Lionel Richie"
"Billboard_Music_Award"	"Top_Artist"	2019	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ariana-Grande>	"Ariana Grande"
"Billboard_Music_Award"	"Top_Artist"	2003	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Sean-Paul>	"Sean Paul"
"American_Music_Award"	"Favorite_Country_Band/Duo/Group"	2006	false	<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Montgomery-Gentry>	"Montgomery Gentry"
