?subject	?name	?entity_name
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Pretenders>	"Pretenders"	"Philadelphia"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Pretenders>	"Pretenders"	"New York"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Pretenders>	"Pretenders"	"London"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Pretenders>	"Pretenders"	"Los Angeles"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Pretenders>	"Pretenders"	"SF Bay Area"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cassadee-Pope>	"Cassadee Pope"	"Philadelphia"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cassadee-Pope>	"Cassadee Pope"	"Los Angeles"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cassadee-Pope>	"Cassadee Pope"	"Nashville"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cassadee-Pope>	"Cassadee Pope"	"Jacksonville"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cassadee-Pope>	"Cassadee Pope"	"Washington"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Morbid-Angel>	"Morbid Angel"	"New York"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Morbid-Angel>	"Morbid Angel"	"London"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Morbid-Angel>	"Morbid Angel"	"Los Angeles"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Morbid-Angel>	"Morbid Angel"	"Twin Cities"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Morbid-Angel>	"Morbid Angel"	"SF Bay Area"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ryan-Leslie>	"Ryan Leslie"	"New York"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ryan-Leslie>	"Ryan Leslie"	"London"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ryan-Leslie>	"Ryan Leslie"	"Los Angeles"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ryan-Leslie>	"Ryan Leslie"	"Frankfurt"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ryan-Leslie>	"Ryan Leslie"	"Hamburg"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	"Denver"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	"St Louis"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	"Atlanta"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	"Los Angeles"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	"Seattle"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	"Nashville"
