?subject	?name	?year	?band	?gender
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Pretenders>	"Pretenders"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cassadee-Pope>	"Cassadee Pope"	2008	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Morbid-Angel>	"Morbid Angel"	1983	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Ryan-Leslie>	"Ryan Leslie"	1997	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	1992	true	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Nappy Roots"	1992	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Anthony Hamilton"	1992	true	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Anthony-Hamilton-(musician)>	"Anthony Hamilton"	1992	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Arca-(musician)>	"Arca"	2011	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Tkay-Maidza>	"Tkay Maidza"	2013	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Action-Bronson>	"Action Bronson"	2008	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Angie-Stone>	"Angie Stone"	1979	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Mayhem-(band)>	"Mayhem"	1984	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lamb-of-God-(band)>	"Lamb of God"	1994	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Jesus-and-Mary-Chain>	"The Jesus and Mary Chain"	1983	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Carolina-Liar>	"Carolina Liar"	2006	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Grace-Mitchell>	"Grace Mitchell"		false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lily-Allen>	"Lily Allen"	2002	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/The-Jungle-Giants>	"The Jungle Giants"	2011	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Dej-Loaf>	"Dej Loaf"	2011	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lost-Frequencies-discography>	"Lost Frequencies"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Cedric-Gervais>	"Cedric Gervais"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Adam-Green-(musician)>	"Adam Green"	1998	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Beautiful-Girls-(film)>	"The Beautiful Girls"		true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Alesso>	"Alesso"	2010	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Civil-Twilight-(band)>	"Civil Twilight"	2005	true	
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Paul-Johnson>	"Paul Johnson"		false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Lindsey-Stirling>	"Lindsey Stirling"	2007	false	"female"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/21-Savage>	"21 Savage"	2013	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/21-Savage>	"Savage"	2013	false	"male"
<http://dsci558.org/rahul-zerui-project/https://en.wikipedia.org/wiki/Odesza>	"Madelyn Grant"	2012	true	"female"
